Target,Model,step,RMSE
Trefoil,Splanifold,451,0.028859
Trefoil,Splanifold,501,0.022599
Trefoil,Splanifold,551,0.017868
Trefoil,Splanifold,601,0.014171
Trefoil,Splanifold,651,0.011217
Trefoil,Splanifold,701,0.008835
Trefoil,Splanifold,751,0.006911
Trefoil,Splanifold,801,0.005368
Trefoil,Splanifold,851,0.004143
Trefoil,Splanifold,901,0.003187
Trefoil,Splanifold,951,0.002459
Trefoil,Splanifold,1001,0.001922
Trefoil,Splanifold,1051,0.001545
Trefoil,Splanifold,1101,0.001295
Trefoil,Splanifold,1151,0.001143
Trefoil,Splanifold,1201,0.001064
Trefoil,Splanifold,1251,0.001013
Trefoil,Splanifold,1301,0.000992
Trefoil,Splanifold,1351,0.000982
Trefoil,Splanifold,1401,0.000978
Trefoil,Splanifold,1451,0.001008
Trefoil,Splanifold,1501,0.000976
Trefoil,Splanifold,1551,0.000976
Trefoil,Splanifold,1601,0.000952
Trefoil,Splanifold,1651,0.000954
Trefoil,Splanifold,1701,0.000975
Trefoil,Splanifold,1751,0.001031
Trefoil,Splanifold,1801,0.000976
Trefoil,Splanifold,1851,0.000976
Trefoil,Splanifold,1901,0.001119
Trefoil,Splanifold,1951,0.000968
Trefoil,Splanifold,2000,0.000977
Trefoil,RBF,1,1.085230
Trefoil,RBF,51,0.116136
Trefoil,RBF,101,0.073508
Trefoil,RBF,151,0.062978
Trefoil,RBF,201,0.055746
Trefoil,RBF,251,0.050274
Trefoil,RBF,301,0.045985
Trefoil,RBF,351,0.042629
Trefoil,RBF,401,0.040023
Trefoil,RBF,451,0.038004
Trefoil,RBF,501,0.036426
Trefoil,RBF,551,0.035167
Trefoil,RBF,601,0.034131
Trefoil,RBF,651,0.033251
Trefoil,RBF,701,0.032480
Trefoil,RBF,751,0.031788
Trefoil,RBF,801,0.031154
Trefoil,RBF,851,0.030566
Trefoil,RBF,901,0.030015
Trefoil,RBF,951,0.029496
Trefoil,RBF,1001,0.029004
Trefoil,RBF,1051,0.028536
Trefoil,RBF,1101,0.028090
Trefoil,RBF,1151,0.027664
Trefoil,RBF,1201,0.027256
Trefoil,RBF,1251,0.026865
Trefoil,RBF,1301,0.026489
Trefoil,RBF,1351,0.026128
Trefoil,RBF,1401,0.025780
Trefoil,RBF,1451,0.025445
Trefoil,RBF,1501,0.025122
Trefoil,RBF,1551,0.024810
Trefoil,RBF,1601,0.024510
Trefoil,RBF,1651,0.024219
Trefoil,RBF,1701,0.023939
Trefoil,RBF,1751,0.023668
Trefoil,RBF,1801,0.023406
Trefoil,RBF,1851,0.023154
Trefoil,RBF,1901,0.022910
Trefoil,RBF,1951,0.022675
Trefoil,RBF,2000,0.022453
Trefoil,MLP,1,0.482842
Trefoil,MLP,51,0.063404
